"","Genus","Species","Antibiotic","Equiv","Result","Phenotype","Data"
"7569","Escherichia","coli","AMP","=","2","S","PNUSAE020588"
"7571","Escherichia","coli","AMP","=","2","S","PNUSAE020264"
"7577","Escherichia","coli","AMP","=","2","S","PNUSAE021337"
"7580","Escherichia","coli","AMP","=","2","S","PNUSAE016997"
"7585","Escherichia","coli","AMP","=","4","S","PNUSAE022107"
"7587","Escherichia","coli","AMP","=","2","S","PNUSAE021561"
"7588","Escherichia","coli","AMP","=","4","S","PNUSAE021567"
"7589","Escherichia","coli","AMP","=","2","S","PNUSAE019983"
"7590","Escherichia","coli","AMP","=","2","S","PNUSAE019409"
"7591","Escherichia","coli","AMP",">","32","R","PNUSAE020098"
"7598","Escherichia","coli","AMP","=","4","S","PNUSAE019614"
"7599","Escherichia","coli","AMP","=","2","S","PNUSAE017042"
"7600","Escherichia","coli","AMP","=","2","S","PNUSAE018138"
"7604","Escherichia","coli","AMP","=","2","S","PNUSAE019533"
"7606","Escherichia","coli","AMP","=","4","S","PNUSAE019726"
"7609","Escherichia","coli","AMP","=","4","S","PNUSAE019329"
"7610","Escherichia","coli","AMP","=","2","S","PNUSAE021588"
"7611","Escherichia","coli","AMP","=","2","S","PNUSAE021236"
"7619","Escherichia","coli","AMP","=","2","S","PNUSAE021148"
"7620","Escherichia","coli","AMP","=","2","S","PNUSAE021901"
"7622","Escherichia","coli","AMP","=","2","S","PNUSAE020814"
"7624","Escherichia","coli","AMP","=","4","S","PNUSAE017189"
"7625","Escherichia","coli","AMP","=","2","S","PNUSAE020254"
"7630","Escherichia","coli","AMP","=","4","S","PNUSAE022469"
"7631","Escherichia","coli","AMP","=","2","S","PNUSAE021802"
"7633","Escherichia","coli","AMP","=","4","S","PNUSAE024487"
"7635","Escherichia","coli","AMP","=","4","S","PNUSAE020169"
"7636","Escherichia","coli","AMP","=","2","S","PNUSAE021710"
"7637","Escherichia","coli","AMP","=","4","S","PNUSAE021571"
"7638","Escherichia","coli","AMP","=","2","S","PNUSAE020675"
"7639","Escherichia","coli","AMP","=","2","S","PNUSAE021657"
"7640","Escherichia","coli","AMP","=","4","S","PNUSAE017833"
"7641","Escherichia","coli","AMP","=","2","S","PNUSAE018549"
"7642","Escherichia","coli","AMP","=","4","S","PNUSAE018966"
"7646","Escherichia","coli","AMP","=","4","S","PNUSAE021703"
"7647","Escherichia","coli","AMP","=","2","S","PNUSAE019759"
"7648","Escherichia","coli","AMP","=","2","S","PNUSAE023246"
"7649","Escherichia","coli","AMP","=","2","S","PNUSAE021693"
"7650","Escherichia","coli","AMP","=","4","S","PNUSAE022341"
"7651","Escherichia","coli","AMP","=","4","S","PNUSAE022552"
"7652","Escherichia","coli","AMP","=","2","S","PNUSAE022295"
"7653","Escherichia","coli","AMP","=","4","S","PNUSAE020677"
"7655","Escherichia","coli","AMP","=","4","S","PNUSAE022837"
"7656","Escherichia","coli","AMP","=","4","S","PNUSAE021985"
"7657","Escherichia","coli","AMP","=","4","S","PNUSAE026149"
"7659","Escherichia","coli","AMP","=","2","S","PNUSAE021745"
"7662","Escherichia","coli","AMP","=","2","S","PNUSAE020880"
"7663","Escherichia","coli","AMP","=","2","S","PNUSAE020297"
"7665","Escherichia","coli","AMP","=","2","S","PNUSAE021840"
"7666","Escherichia","coli","AMP","=","4","S","PNUSAE022182"
"7671","Escherichia","coli","AMP","=","4","S","PNUSAE023331"
"7672","Escherichia","coli","AMP","=","2","S","PNUSAE015425"
"7673","Escherichia","coli","AMP","=","4","S","PNUSAE023897"
"7674","Escherichia","coli","AMP","=","4","S","PNUSAE021974"
"7675","Escherichia","coli","AMP","=","2","S","PNUSAE022092"
